python,django,react,rest_api,mysql,docker,aws,git,javascript,html,css,experience,projects,certifications,education,ats_score,label
1,1,0,0,0,1,1,1,1,1,0,2,5,5,0,77,Highly Suitable
1,0,0,0,1,0,0,0,1,0,0,5,3,2,2,56,Suitable
1,0,1,0,1,0,0,0,0,1,0,0,1,0,2,93,Suitable
0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,73,Highly Suitable
1,0,1,0,1,1,1,1,0,1,0,5,3,3,0,54,Highly Suitable
0,0,0,0,1,1,1,0,0,1,1,3,2,3,2,79,Highly Suitable
1,1,0,0,1,1,0,0,1,0,0,4,7,4,2,80,Highly Suitable
0,0,1,0,1,1,1,1,0,1,0,8,3,2,2,56,Highly Suitable
1,1,1,0,0,0,1,1,1,1,0,3,8,3,2,25,Highly Suitable
0,0,1,1,1,0,0,1,1,0,1,4,5,4,2,88,Highly Suitable
1,1,0,1,1,0,1,1,0,1,1,3,0,4,1,41,Highly Suitable
1,0,0,0,0,0,0,1,1,1,0,6,3,3,2,98,Highly Suitable
0,0,0,1,1,1,1,0,1,1,1,4,7,1,0,55,Highly Suitable
1,0,1,1,0,1,1,1,1,1,1,1,8,3,1,64,Highly Suitable
1,0,1,0,1,1,1,1,0,0,1,8,4,1,0,98,Highly Suitable
0,0,0,0,0,0,0,1,1,1,0,2,0,4,0,72,Needs Improvement
1,1,0,1,1,1,0,0,0,0,0,6,2,0,1,83,Highly Suitable
1,0,0,1,0,1,1,1,1,0,1,4,3,0,1,40,Highly Suitable
1,0,0,1,1,0,0,1,1,1,0,6,1,1,0,81,Highly Suitable
0,0,1,1,0,1,1,1,1,0,1,5,3,0,2,35,Highly Suitable
1,0,1,1,0,1,1,0,0,0,1,2,7,5,2,67,Highly Suitable
1,0,0,0,1,1,0,0,0,0,0,2,5,4,1,34,Needs Improvement
1,0,1,0,1,0,1,1,0,1,1,0,6,2,0,47,Highly Suitable
0,0,1,1,0,0,0,1,0,1,1,2,2,5,2,73,Suitable
1,1,1,1,0,0,1,0,0,1,0,3,0,0,1,79,Highly Suitable
1,1,0,0,1,1,0,1,0,0,0,6,0,1,0,28,Suitable
0,1,0,0,0,1,1,0,0,0,0,8,4,1,2,93,Highly Suitable
1,0,1,0,0,1,1,1,0,0,1,8,7,0,1,68,Highly Suitable
1,1,1,0,1,1,0,1,0,0,1,2,7,0,2,72,Highly Suitable
0,1,0,1,0,1,0,1,1,0,0,0,4,3,2,97,Highly Suitable
0,0,0,0,1,0,1,1,0,0,0,1,7,1,2,97,Suitable
1,0,1,1,1,1,1,1,1,1,1,7,1,5,1,60,Highly Suitable
1,1,1,0,0,0,0,1,1,1,0,3,5,1,1,92,Highly Suitable
1,1,1,1,1,1,0,1,0,0,1,2,8,5,0,87,Highly Suitable
0,0,0,1,0,0,0,0,0,0,1,5,0,4,2,98,Suitable
1,0,0,1,0,0,1,1,0,1,0,1,1,4,0,50,Needs Improvement
1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,68,Highly Suitable
1,0,0,0,0,1,1,1,0,0,0,3,7,2,0,29,Suitable
0,0,1,0,0,0,1,0,1,0,0,6,8,2,1,37,Suitable
1,0,0,1,0,0,1,1,1,0,1,7,7,1,1,90,Highly Suitable
1,0,1,0,1,0,0,0,1,0,1,2,6,2,1,33,Suitable
0,1,1,1,1,0,0,0,0,1,1,8,8,4,1,33,Highly Suitable
0,1,0,1,1,0,1,1,1,0,0,8,2,5,1,41,Highly Suitable
1,1,1,1,0,0,0,1,1,1,1,7,1,2,1,51,Highly Suitable
1,0,1,0,0,1,0,1,1,1,1,7,5,3,2,96,Highly Suitable
1,1,0,1,1,0,1,1,1,1,0,5,6,2,1,66,Highly Suitable
0,0,0,1,0,1,1,0,1,1,0,4,3,2,2,39,Suitable
1,0,1,1,1,1,0,1,0,0,0,5,2,5,2,25,Highly Suitable
1,1,1,0,0,0,1,0,0,1,1,6,7,5,2,84,Highly Suitable
1,0,1,0,1,1,0,0,0,1,1,5,7,1,2,81,Highly Suitable
1,0,1,1,1,0,1,0,0,0,1,1,2,5,0,86,Highly Suitable
0,1,1,1,0,1,0,0,1,1,0,3,7,4,1,69,Highly Suitable
0,0,1,0,0,0,1,1,0,1,0,4,7,4,2,60,Highly Suitable
1,1,0,1,1,1,0,1,0,0,1,1,3,2,0,43,Suitable
0,1,1,0,1,1,0,1,0,0,1,4,2,1,1,77,Highly Suitable
0,1,0,1,0,0,1,1,1,1,1,7,7,1,0,92,Highly Suitable
0,1,0,1,0,1,0,1,1,0,0,4,8,2,2,25,Highly Suitable
0,1,0,0,1,0,1,1,1,0,1,1,3,1,2,95,Highly Suitable
1,0,0,0,0,0,1,1,0,1,1,4,4,4,2,32,Suitable
1,0,1,0,0,0,0,1,0,1,1,2,4,5,1,68,Highly Suitable
0,0,1,1,1,1,1,1,0,0,1,5,1,4,1,47,Highly Suitable
0,1,1,1,1,1,0,1,1,0,0,1,7,0,0,40,Highly Suitable
1,0,1,0,0,1,0,1,0,1,1,1,5,5,2,41,Suitable
1,1,0,1,0,0,0,0,1,0,0,3,8,5,1,21,Suitable
1,0,1,0,1,0,0,1,0,0,0,5,5,2,0,68,Suitable
0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,95,Needs Improvement
1,1,1,0,0,1,0,0,1,0,1,3,8,4,2,44,Highly Suitable
1,0,0,1,1,0,0,1,0,0,1,5,2,3,2,73,Highly Suitable
0,1,0,0,0,0,1,0,0,0,1,8,4,5,2,84,Highly Suitable
1,1,0,0,1,0,1,0,0,0,1,6,1,2,2,75,Highly Suitable
0,0,0,1,0,1,0,1,0,0,0,2,0,1,1,64,Needs Improvement
1,0,1,0,1,0,0,1,1,1,0,4,1,3,1,85,Highly Suitable
0,1,0,1,0,1,0,0,0,0,0,0,3,0,1,66,Needs Improvement
0,0,0,1,0,1,0,1,1,1,0,5,1,4,2,26,Suitable
0,0,1,0,1,1,1,1,0,1,0,5,3,2,2,58,Highly Suitable
0,1,1,1,0,0,0,0,1,0,0,8,5,5,2,21,Highly Suitable
0,1,1,0,0,0,1,1,0,0,1,1,0,1,2,72,Suitable
1,0,0,0,1,0,0,1,0,0,1,4,5,3,2,61,Suitable
1,1,0,0,0,0,0,0,0,0,1,7,5,3,0,88,Highly Suitable
0,1,1,1,1,0,0,0,1,0,0,5,2,0,2,51,Highly Suitable
1,0,1,1,0,0,1,1,0,0,1,1,2,0,0,27,Needs Improvement
0,0,1,1,0,1,0,0,0,0,1,2,1,2,0,25,Needs Improvement
0,0,1,1,1,0,1,1,0,1,0,2,4,2,1,39,Suitable
0,1,1,1,1,0,0,1,1,0,1,3,8,1,2,89,Highly Suitable
1,1,1,1,1,1,1,1,0,0,1,3,0,2,0,80,Highly Suitable
1,0,0,0,0,0,1,0,0,1,1,2,2,1,2,60,Suitable
0,1,0,0,1,1,0,1,0,0,0,3,3,0,2,81,Suitable
1,0,0,1,0,1,0,0,0,0,0,8,5,0,1,70,Highly Suitable
0,1,1,1,0,0,1,1,1,0,1,3,2,3,1,57,Highly Suitable
0,0,1,0,0,1,0,0,1,0,1,1,3,2,1,41,Suitable
0,1,1,0,1,0,0,0,1,1,0,0,0,3,1,73,Needs Improvement
1,1,1,1,1,0,1,0,0,1,0,0,4,0,1,53,Suitable
0,1,0,1,0,0,0,1,1,0,1,2,6,1,0,32,Suitable
0,0,1,1,1,1,0,0,0,1,1,2,0,2,0,74,Needs Improvement
1,1,0,0,0,0,0,1,0,1,0,4,6,3,1,53,Suitable
1,0,1,1,1,0,1,0,1,1,1,4,3,2,2,27,Highly Suitable
0,0,1,1,0,0,1,1,1,0,1,4,1,3,2,24,Highly Suitable
0,0,1,0,0,0,0,0,0,1,0,6,3,5,0,96,Suitable
1,0,0,1,1,1,1,1,0,1,0,6,2,1,2,95,Highly Suitable
0,0,0,1,1,1,1,1,1,1,0,2,4,3,0,99,Highly Suitable
1,0,1,1,0,0,1,1,1,0,1,4,4,2,1,32,Highly Suitable
0,1,1,1,1,1,0,0,1,0,1,7,8,2,0,85,Highly Suitable
0,1,1,0,0,0,0,0,0,0,0,7,0,2,2,45,Suitable
1,1,1,0,0,0,1,1,1,0,1,8,5,2,0,53,Highly Suitable
1,0,1,0,0,0,0,0,0,1,1,8,0,5,0,80,Suitable
0,0,0,1,1,1,1,1,1,1,1,3,7,2,2,86,Highly Suitable
1,0,0,1,1,1,0,1,0,1,1,5,4,2,2,58,Highly Suitable
0,0,0,1,1,0,0,1,1,1,1,6,6,5,0,94,Highly Suitable
0,1,0,1,1,1,0,0,1,0,1,2,4,5,2,43,Highly Suitable
0,0,1,0,1,1,1,1,1,1,1,1,7,0,2,94,Highly Suitable
0,1,0,0,1,1,1,0,0,0,0,5,6,4,1,38,Highly Suitable
0,0,1,1,0,1,0,0,1,1,0,2,2,3,0,36,Suitable
1,1,1,1,1,1,0,0,0,1,0,5,8,1,0,20,Highly Suitable
0,0,1,1,0,0,1,1,0,0,0,4,4,3,2,86,Highly Suitable
1,1,0,1,1,1,0,0,1,0,0,3,2,1,2,22,Highly Suitable
0,0,1,0,1,1,0,0,0,0,0,1,6,3,1,35,Suitable
1,1,0,0,0,1,1,0,1,0,1,1,8,5,2,35,Highly Suitable
0,0,1,0,0,1,0,1,1,1,0,0,8,3,0,81,Suitable
0,0,0,0,0,1,0,0,0,0,1,3,7,2,1,79,Needs Improvement
0,0,0,1,1,1,1,0,0,0,0,2,2,2,1,76,Highly Suitable
1,0,1,1,0,0,1,1,1,1,1,7,6,5,0,34,Highly Suitable
0,0,0,1,1,1,0,1,1,0,0,7,7,0,1,76,Highly Suitable
0,1,1,0,0,1,0,1,0,1,1,6,2,4,2,26,Suitable
0,1,1,0,0,1,1,0,1,1,0,8,3,4,2,68,Highly Suitable
0,0,1,1,1,0,1,1,1,0,1,0,1,3,1,24,Suitable
0,0,1,0,1,1,1,0,0,1,1,8,7,5,2,66,Highly Suitable
0,0,0,0,1,1,1,1,0,0,0,7,2,5,2,72,Highly Suitable
1,0,0,0,1,0,1,0,1,0,1,0,1,3,1,95,Suitable
0,1,0,0,1,1,0,0,0,0,1,5,8,3,1,97,Highly Suitable
1,1,1,1,1,0,0,1,1,1,0,3,3,4,2,57,Highly Suitable
0,0,1,0,1,1,1,1,1,0,0,0,6,1,0,27,Needs Improvement
1,0,1,1,0,0,1,0,0,1,1,1,8,1,2,91,Highly Suitable
0,1,0,1,1,1,1,0,0,1,0,7,3,5,2,67,Highly Suitable
0,0,1,1,0,0,0,0,0,1,0,6,4,4,1,36,Suitable
1,0,1,1,0,0,0,1,0,1,1,8,5,0,2,60,Highly Suitable
0,0,0,0,1,1,0,1,0,0,1,5,5,2,0,99,Highly Suitable
1,0,0,1,1,0,0,0,1,1,0,6,4,4,2,56,Highly Suitable
1,1,1,0,1,0,1,0,0,0,0,1,3,5,2,47,Highly Suitable
0,0,1,0,0,0,1,1,0,0,0,0,2,2,2,29,Needs Improvement
0,1,1,1,1,1,1,1,0,1,0,8,0,5,2,99,Highly Suitable
0,0,1,0,1,1,0,1,1,1,1,0,7,1,2,48,Suitable
1,1,0,1,1,0,0,0,0,0,1,8,8,0,1,46,Highly Suitable
0,1,0,0,0,0,1,0,0,0,0,8,7,5,2,29,Highly Suitable
0,1,0,0,1,1,1,0,0,0,1,1,3,2,1,77,Suitable
1,0,1,1,1,0,0,1,0,0,1,4,5,1,2,62,Highly Suitable
1,1,1,1,1,0,0,0,1,0,0,4,1,5,0,22,Highly Suitable
0,1,0,0,1,1,0,1,1,0,1,2,7,4,2,31,Highly Suitable
1,0,0,0,0,1,0,0,0,1,1,0,3,3,0,28,Not Suitable
1,0,0,0,1,1,1,1,0,0,1,1,8,5,1,53,Highly Suitable
0,1,1,1,0,1,1,0,1,1,1,7,7,4,0,84,Highly Suitable
1,0,0,0,1,0,0,0,0,1,0,3,6,2,2,34,Suitable
1,1,0,0,1,0,0,0,0,0,0,8,0,4,0,27,Suitable
1,0,1,0,1,0,0,1,1,1,0,3,6,4,0,94,Highly Suitable
1,0,1,1,0,0,1,1,0,0,0,3,8,4,2,73,Highly Suitable
0,0,1,0,0,0,1,0,0,1,1,5,0,5,2,74,Suitable
1,1,1,0,1,0,1,1,0,0,1,8,6,2,0,20,Highly Suitable
0,0,1,0,1,1,1,0,0,1,1,4,8,3,2,66,Highly Suitable
1,1,0,1,1,0,1,1,1,1,1,6,2,5,0,49,Highly Suitable
0,0,0,1,1,0,0,1,0,0,0,7,6,0,0,53,Suitable
1,0,0,1,1,1,0,0,1,1,0,3,8,2,0,24,Highly Suitable
0,0,0,1,0,0,0,0,1,1,1,6,6,4,0,86,Suitable
0,0,1,1,1,1,0,0,1,1,0,4,2,3,2,33,Highly Suitable
0,1,1,0,1,1,1,1,1,0,1,7,7,4,0,81,Highly Suitable
1,0,1,0,0,1,1,1,0,1,0,4,1,3,2,63,Highly Suitable
0,1,1,1,0,1,0,0,1,0,0,3,4,1,0,45,Suitable
1,0,0,0,0,1,0,0,1,1,1,7,4,3,0,85,Highly Suitable
1,0,0,0,1,1,0,1,1,0,1,1,8,3,1,21,Suitable
0,1,0,1,1,1,0,1,0,1,1,5,5,1,1,74,Highly Suitable
1,1,1,1,1,1,0,0,0,0,1,3,8,3,1,45,Highly Suitable
0,1,0,0,1,1,0,1,1,1,1,8,0,3,0,40,Suitable
0,1,1,0,1,1,1,1,1,1,1,0,6,0,1,97,Highly Suitable
0,1,1,1,1,1,0,1,1,1,0,2,5,3,2,98,Highly Suitable
1,0,0,0,1,0,1,1,1,1,1,4,7,2,2,95,Highly Suitable
1,1,0,0,0,0,0,1,0,0,0,6,1,0,0,80,Suitable
0,0,1,0,0,1,0,0,1,1,0,3,4,3,2,36,Suitable
0,0,0,1,1,1,1,1,1,0,0,7,6,4,2,88,Highly Suitable
1,1,0,0,1,1,1,1,1,0,1,0,0,4,0,64,Highly Suitable
1,0,1,1,1,0,1,1,0,0,1,3,6,4,1,70,Highly Suitable
0,1,1,0,1,0,1,0,1,1,1,6,3,0,0,37,Highly Suitable
0,1,1,1,1,0,1,0,0,0,0,2,1,2,1,36,Suitable
0,0,0,0,0,1,0,1,1,1,1,5,7,5,0,62,Suitable
0,0,1,1,0,1,0,0,1,1,0,1,3,3,1,51,Needs Improvement
0,1,0,0,1,1,1,1,0,0,0,4,7,5,1,45,Highly Suitable
0,0,0,0,1,1,0,0,1,0,1,3,0,0,2,80,Suitable
0,1,0,0,0,1,0,1,0,0,1,2,8,0,0,82,Suitable
1,1,1,0,0,1,1,0,1,0,1,7,8,2,2,82,Highly Suitable
0,1,1,1,1,0,0,0,1,1,1,8,5,3,0,84,Highly Suitable
0,0,1,0,1,0,1,0,1,0,1,5,6,5,1,34,Suitable
0,0,0,0,0,0,0,1,0,0,0,6,7,4,2,95,Suitable
0,1,0,0,0,0,1,0,1,0,1,8,6,2,2,27,Highly Suitable
1,0,0,1,0,0,0,0,0,1,0,3,8,5,0,92,Highly Suitable
0,1,0,1,1,1,0,0,0,1,1,2,8,4,1,65,Highly Suitable
1,1,1,1,1,0,0,1,1,1,1,7,6,0,2,24,Highly Suitable
0,0,1,0,1,0,0,1,0,1,0,1,0,3,1,39,Not Suitable
1,1,0,0,1,1,0,1,0,0,1,7,2,3,2,93,Highly Suitable
1,0,1,0,0,1,1,1,1,0,0,0,6,0,1,87,Suitable
1,0,1,0,0,0,1,1,0,0,1,4,6,1,0,63,Suitable
1,0,1,1,0,1,1,0,0,1,0,7,6,5,2,45,Highly Suitable
0,0,0,1,1,1,0,0,1,1,1,5,3,2,1,96,Highly Suitable
0,1,0,1,1,0,1,0,0,0,1,2,1,0,2,26,Needs Improvement
0,1,0,1,0,1,1,1,0,1,0,8,3,1,2,86,Highly Suitable
1,0,0,1,0,1,0,0,1,0,1,0,7,5,0,28,Suitable
1,1,0,0,1,1,0,1,0,1,1,8,1,1,0,84,Highly Suitable
0,0,0,1,1,1,1,0,0,1,1,5,4,1,2,55,Suitable
1,1,0,1,0,0,1,1,0,0,1,8,3,3,0,93,Highly Suitable
1,1,1,1,0,0,0,0,0,1,0,6,2,5,2,40,Highly Suitable
0,0,0,1,0,0,1,1,1,1,1,4,2,1,0,36,Needs Improvement
0,1,0,0,0,0,1,0,1,0,1,5,2,3,1,80,Suitable
0,0,0,0,1,0,1,1,0,0,0,1,2,3,2,82,Suitable
1,0,1,1,0,1,1,1,0,0,1,7,0,1,2,88,Highly Suitable
0,1,0,0,1,1,1,1,1,1,0,6,4,4,0,86,Highly Suitable
1,1,0,0,0,0,1,1,1,1,0,2,7,4,2,45,Highly Suitable
0,1,1,0,0,0,0,1,1,0,1,8,2,3,2,68,Highly Suitable
0,1,0,0,0,0,0,1,1,1,1,4,2,0,0,45,Needs Improvement
1,0,1,1,1,0,1,0,0,1,1,6,7,0,2,96,Highly Suitable
0,1,0,0,0,0,0,1,0,0,0,4,5,0,0,33,Needs Improvement
0,0,1,0,1,1,0,0,1,1,1,6,1,3,2,28,Suitable
1,0,0,1,1,1,0,0,0,0,0,7,4,3,2,60,Highly Suitable
1,0,1,1,1,0,0,1,0,0,0,0,7,5,0,46,Highly Suitable
1,1,0,1,1,0,0,0,1,1,0,4,4,4,2,61,Highly Suitable
0,1,1,1,0,0,0,1,1,1,1,0,2,3,0,100,Highly Suitable
1,1,1,0,1,1,0,0,1,1,0,2,4,0,1,68,Highly Suitable
0,1,0,0,1,1,0,1,1,0,1,3,5,3,1,47,Highly Suitable
1,0,0,1,0,0,0,1,0,1,0,3,5,3,2,87,Highly Suitable
1,0,0,0,0,0,1,1,0,0,1,0,1,2,1,25,Not Suitable
1,0,1,0,1,0,0,1,1,1,1,1,4,1,0,55,Suitable
0,0,0,1,1,1,0,1,0,0,0,4,5,4,1,26,Suitable
0,1,0,0,1,0,0,1,1,0,1,5,4,2,0,88,Suitable
1,0,0,1,0,1,1,1,1,0,0,2,4,2,1,43,Highly Suitable
1,1,1,0,0,1,0,1,1,1,0,4,5,4,2,36,Highly Suitable
0,1,0,1,0,1,1,1,1,0,0,8,2,3,1,28,Highly Suitable
0,1,1,1,0,0,0,1,0,1,1,8,1,3,0,59,Highly Suitable
0,0,1,1,1,0,0,0,0,0,0,2,7,4,1,69,Highly Suitable
1,0,0,1,1,1,1,1,0,0,1,2,4,0,1,90,Highly Suitable
0,1,0,1,0,0,1,1,1,1,1,6,6,4,0,42,Highly Suitable
0,0,1,1,1,0,1,0,0,0,0,0,2,5,1,75,Suitable
0,0,1,1,1,0,1,1,1,1,1,3,2,3,2,20,Highly Suitable
1,0,1,1,1,0,0,1,1,0,1,1,2,5,2,87,Highly Suitable
1,0,0,0,1,0,1,0,1,0,1,7,8,3,2,62,Highly Suitable
1,1,1,0,0,1,1,0,1,0,0,4,0,2,1,30,Suitable
0,1,1,0,1,1,1,0,0,0,0,7,5,1,1,50,Highly Suitable
0,0,1,0,0,0,1,1,1,0,1,2,3,4,2,64,Suitable
1,0,0,0,1,1,1,1,1,0,1,6,7,2,0,87,Highly Suitable
0,1,1,1,1,0,0,1,1,1,1,4,4,0,1,94,Highly Suitable
1,0,0,1,0,1,0,0,0,0,1,1,8,0,2,77,Highly Suitable
0,1,1,0,0,0,0,0,0,0,0,1,2,3,2,92,Needs Improvement
0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,68,Highly Suitable
1,0,1,1,0,1,0,1,0,1,0,7,1,1,2,75,Highly Suitable
0,1,1,0,0,0,0,1,1,0,1,2,0,0,2,69,Suitable
0,1,1,0,1,1,1,1,0,0,0,6,7,0,2,88,Highly Suitable
1,1,1,0,0,1,1,0,1,1,0,2,8,0,1,44,Highly Suitable
1,0,1,1,0,1,0,0,0,0,0,3,7,3,0,89,Highly Suitable
1,1,1,0,0,1,0,1,0,1,0,3,8,3,2,88,Highly Suitable
0,0,0,0,1,0,1,0,0,0,0,2,0,2,0,78,Needs Improvement
0,0,0,0,1,0,0,0,1,1,1,5,1,5,2,89,Suitable
